doc_name,ARI readability feature,Coleman-Liau readability feature,Complete URL link count,Complete URL link count per section,Flesch Kincaid Readability Feature,Flesch Reading Ease Readability Feature,Gunning Fog Index readability feature,Images count,Images per section,Largest section size,Lasbarhetsindex readability feature,Mean section size,Relative URL link count per length,SMOG Grading readability feature,Same page link count,Same page link count per length,Same page link count per section,Section count,Shortest section size,Standard deviation of the section size,Subsection count,Auxiliary verbs count,Char Count,Coordination conjunctions count,Correlative conjunctions count,Indefinite pronouns count,Interrogative pronouns count,Mean subsection size,Phrase count,Word Count,Large phrase rate,Largest phrase size,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,Short phrase rate,To be verbs count
65735,16.581428040490522,12.347084099264706,11,11,15.537400130773786,35.68988248864983,16.784324417686538,4,4,0,41.96081104421634,0,0.004620586025544703,68.96969000988257,91,0.003418482344102178,91,0,0,0,8,50,26620,154,16,51,36,3119.75,149,4352,0.2080536912751678,408,9,1,0,1,4,1,5,12,1,3,1,0.44966442953020136,97
659111,11.137676056338025,12.048873239436617,6,6,15.597288732394368,14.852552816901436,13.29718309859155,0,0,0,33.24295774647887,0,0.014184397163120569,11.42614977317636,0,0,0,0,0,0,0,0,423,0,0,0,0,0,4,71,0.25,21,1,0,0,0,0,0,0,1,0,0,0,0.5,0
6592370,18.763469945355197,11.275269320843094,10,10,16.69218384074941,38.7656918423107,17.230991412958627,0,0,0,43.07747853239657,0,0.016714227476559314,23.663978319771825,0,0,0,0,0,0,3,3,2453,12,1,5,0,526.6666666666666,12,427,0.08333333333333333,60,0,0,0,0,0,0,1,5,0,0,0,0.8333333333333334,3
6593490,12.789362093352196,13.955702970297033,2,2,12.637195898161243,36.58379950495049,13.946958981612449,0,0,0,34.86739745403112,0,0.005840762373193975,25.47220505424423,2,0.0006148170919151552,2,0,0,0,7,14,3253,15,1,7,2,396.1428571428572,28,505,0.21428571428571427,103,2,0,0,0,0,0,4,4,0,1,0,0.32142857142857145,9
6597462,13.905119047619046,12.251349206349207,3,3,13.629900793650794,39.42169642857144,15.64047619047619,0,0,0,39.101190476190474,0,0.007681976900349181,57.99090833947008,0,0,0,0,0,0,10,38,18615,144,7,42,15,1783,128,3024,0.1640625,396,5,0,11,0,2,0,16,27,0,2,0,0.453125,59
660914,16.377502065056625,13.23480706004499,9,9,15.470146194582206,32.70136911213993,17.333951816433608,2,2,0,43.33487954108402,0,0.0054395847139385905,79.01973427998811,0,0,0,0,0,0,10,77,36216,327,16,84,36,3475.3,212,5779,0.24528301886792453,378,43,0,1,1,8,1,15,28,1,8,0,0.41037735849056606,98
661094,12.037850756081523,10.011254437869823,11,11,11.99730276134122,50.854481426692985,13.199539776462856,1,1,0,32.998849441157134,0,0.007901029213015906,44.10960958218893,13,0.0013514918390685102,13,0,0,0,8,26,9619,50,3,18,5,1118.125,72,1690,0.2222222222222222,181,10,0,0,0,1,0,11,3,0,2,0,0.3472222222222222,43
6611,12.806623504784682,9.080097188995214,25,25,13.039063492822969,49.22720444976079,14.068024880382774,8,8,0,35.170062200956934,0,0.010692982215014156,84.78019320104349,76,0.0020891173479205037,76,0,0,0,10,87,36379,166,6,59,26,3452.6,250,6688,0.116,532,44,1,2,0,1,1,38,26,2,11,0,0.6,90
6614,12.485855597218418,11.75665209565441,21,21,12.508343863644711,43.44297767865976,13.381400343035724,9,9,0,33.45350085758931,0,0.00804837542051697,65.36184731067546,67,0.0028531277945747988,67,0,0,0,9,60,23483,179,14,50,15,2414.777777777778,182,3889,0.1868131868131868,303,16,1,2,1,2,4,11,14,4,12,0,0.3956043956043956,88
6616683,12.857446256846153,11.417650902302428,14,14,13.415593083451387,39.47865930084251,14.606218362041952,5,5,0,36.51554590510488,0,0.005681225893880955,59.69215113223346,114,0.005941832586260815,114,0,0,0,8,38,19186,118,4,12,5,2107.375,141,3214,0.2127659574468085,396,24,0,0,0,1,0,17,9,0,4,0,0.425531914893617,71
6628671,7.6892741935483855,10.68989247311828,0,0,11.401814516129036,34.02272177419357,9.811290322580646,0,0,0,24.528225806451612,0,0.013937282229965157,12.643650760992957,0,0,0,0,0,0,0,0,574,3,0,0,0,0,8,93,0.125,44,1,0,0,0,0,0,0,0,0,0,0,0.5,1
663,9.411213082374893,9.075109911807292,44,44,9.950618127379968,58.06446944225246,10.913954012036545,13,13,0,27.28488503009136,0,0.006520352477025208,90.16077099245967,16,0.0003779914479434903,16,0,0,0,14,227,42329,221,14,89,29,2896.5714285714284,394,7597,0.1928934010152284,470,37,0,2,0,4,3,36,53,3,37,0,0.4289340101522843,242
66331,11.709300249460206,11.127954068057695,55,55,11.612944994186863,48.777109430719435,12.935892797243564,3,3,0,32.339731993108906,0,0.0038135593220338985,87.50443775329198,194,0.004566854990583804,194,0,0,0,6,116,42480,213,11,69,25,6671.166666666667,344,7141,0.15406976744186046,551,52,1,2,0,2,1,34,17,2,13,0,0.4476744186046512,160
6633717,7.657675438596485,10.21065789473684,0,0,11.086842105263155,38.13622807017546,10.856140350877194,0,0,0,27.140350877192983,0,0.026373626373626377,11.717797887081348,0,0,0,0,0,0,0,0,455,1,0,1,1,0,6,76,0,34,0,0,0,0,0,0,1,0,0,1,0,0.16666666666666666,0
